Hearing_group,Species,Species_group,Study,Area,Source,Sound_source,Sound_source_position,Sound_source_depth,Frequency_reported,Duration,RL,RL_unit,RL_measured_or_estimated,Source_range,Number_individuals,Sex,Age_yr,PriorBehavior,Behavioural_response,Highest_severity_scale ,Behavior2,Displacement_avoidance ,Acoustic_change_type
Mid-frequency,Killer whale,Killer whale,"Miller et al 2012, 2011, 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",163,rms,Measured,up to 8 km,1,,,Traveling,Increased swim speed and change of direction away and sideways to the oncoming source of same duration as the exposure. Moderate avoidance.,6,High,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",115,rms,Measured,6 km,1,,,,Production of calls similar to the sonar (vocal matching) and reduction of calling rate. Modification and prolonged cessation of vocal behaviour.,5,Moderate,Not-avoidance,Vocalization Frequency Shift
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",124,rms,Measured,6 km,1,,,Traveling,Clear turn away then sideways from the oncoming source vessel returned to pre-exposure direction of travel. Moderate avoidance of sound source by tagged whale and its group.,6,High,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",159,rms,Measured,2.2 km,1,,,Traveling,Minor change in speed and direction near the point of closest approach by the source vessel but not characteristic of avoidance.,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",159,rms,Measured,,1,,,Traveling,Intermittent change in direction and speed at the closest point of approach coincided with a rapid drop in the received level of the sonar pings on the tags. Judged to be minor avoidance.,5,Moderate,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",152,rms,Measured,6 km,1,,,,No scored response.,,,Not measured/reported,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,Continuous,Vessel ,Moving (approaching),,,,,,,0.99 km,1,,,,Minor change in locomotion and speed (the loop in the track plot) not judged to be avoidance of the source.,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",172,rms,Measured,1.1km,1,,,,No scored response.,,,Not measured/reported,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",153,rms,Measured,4.6 km,1,,,Traveling,Minor avoidance; turned away from the path of the oncoming source.,5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,Continuous,Vessel ,Moving (approaching),,,,,,,1.1 km,1,,,,No scored response.,,,Not measured/reported,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",160,rms,Measured,1.23 km,1,,,Traveling,"A minor change in direction and speed (reduced), not judged to avoidance.",3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",175,rms,Measured,,1,,,Traveling,Brief vertical avoidance. The tagged whale made four synchronous surfacings with the arrival of sonar pings.,4,Moderate,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",159,rms,Measured,7.8 km,1,,,,Brief period of ascent. Judged to represent an orientation response similar to that observed.,1,Low,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",156,rms,Measured,1.6 km,1,,,Traveling,A brief avoidance; change in direction and speed (reduced) away from the path of the apporaching source ship.,4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",161,rms,Measured,,1,,,Traveling,Brief change in group spacing or social cohesion in synchrony with the avoidance,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,Continuous,Vessel ,Moving (approaching),,,,,,,1.6,1,,,,Minor avoidance; change of direction to avoid the path of the source of duration less than that of the exposure session.,5,Moderate,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",145,rms,Measured,7.1 km,1,,,Foraging,Moderate cessation of feeding as benthic foraging dive behaviors ceased.,6,High,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",145,rms,Measured,up to 8 km,1,,,Traveling,Moderate change in dive behavior.,4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",154,rms,Measured,up to 8 km,1,,,,"Moderate change in vocal behavior, reduced number of buzzes but clicking continues at the surface. Apparent vocal mimicry during exposure.",4,Moderate,Not-avoidance,"Decrease vocalization rate, vocal matching"
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,Continuous,Vessel ,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",,,,1.5 km,1,,,,Brief decrease in group spacing towards the start of approach.,3,Low,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",82,rms,Measured,1.23 km,1,,,Traveling,"Prolonged change in group distribution (reduced group spacing). Given the sampling times, this change could have occurred before the exposure started but was judged to plausibly be related to the simultaneous change in diving activity.",6,High,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",152,rms,Measured,up to 8 km,1,,,Foraging,Prolonged change in dive behavior from active deep diving to surface mode at onset of exposure.,5,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",152,rms,Measured,up to 8 km,1,,,Foraging,Prolonged cessation of feeding; cessation of deep foraging dives exceeds exposure duration.,7,High,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",158,rms,Measured,up to 8 km,1,,,Traveling,Ship approached from the front. Tagged animal with its group moved side-ways from the ship and then directly away from ship. Moderate avoidance. RL continue to increase because the source is moving faster than the animals.,6,High,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",180,rms,Measured,up to 8 km,1,,,Traveling,Brief vertical avoidance (synchronous surfacing with sonar not visible with-out zoom).,4,Moderate,Avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",85,rms,Measured,0.78 km,1,,,Traveling,Moderate change in dive behavior from shallow to deep diving of same duration as the exposure.,4,Moderate,Not-avoidance,Not measured/reported
Mid-frequency,Pilot whale,Black fish,"Miller et al 2012, 2011, Antunes et al. 2014, Alves et al. 2014",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",159,rms,Measured,up to 8 km,1,,,Traveling,Moderate avoidance; ship approached from the front. Animals moved side-ways from the ship and then 180° from ship.,6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",128,rms,Measured,up to 8 km,1,,,Traveling,Moderate avoidance as animal turned sideways from oncoming source.,6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",132,rms,Measured,up to 8 km,1,,,Traveling,Brief orientation response (wiggle on ascent phase of dive profile in the very beginning of exposure).,1,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",156,rms,Measured,up to 8 km,1,,,,Moderate change in vocal behavior (no clicking during deep dives).,4,Moderate,Not-avoidance,Vocalization cessation
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",156,rms,Measured,up to 8 km,1,,,Foraging,Moderate cessation of feeding indicated by lack of echolocation clicks or buzzes during dives.,6,High,Avoidance,Vocalization cessation
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",140,rms,Measured,up to 8 km,1,,,Traveling,Brief orientation responses; dive ascent with a simultaneous change of direction.,1,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",141,rms,Measured,up to 8 km,1,,,Socializing ,Social sounds (codas and slow clicks) during exposure also happened before but the rate increases. Moderate modification of vocal behavior.,4,Moderate,Not-avoidance,Vocalization Rate Increase
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",158,rms,Measured,up to 8 km,1,,,Traveling,Wiggle on the dive profile (1230 h); brief change of dive profile.,2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",158,rms,Measured,up to 8 km,1,,,,Brief change in vocalization (he started clicking for a brief period during the wiggle in the dive profile).,2,Low,Not-avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Low Frequency Sonar,Moving (approaching),,1 - 2 kHz ,"1 s, 20 s interval between pings (over 10 min)",158,rms,Measured,up to 8 km,1,,,Traveling,Moderate avoidance of sound source as animal turned sideways to the source. The direction change coincided with the wiggle in ascent dive profile.,6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",135,rms,Measured,up to 8 km,1,,,Traveling,Moderate avoidance of sound source as animal turned sideways to the path of the oncoming source.,6,High,Avoidance,Not measured/reported
Mid-frequency,Sperm whale,Sperm whale,"Miller et al 2012, 2011, Wensveen 2012, Sivle et al. 2012",Norway,MFAS,Mid-frequency sonar,Moving (approaching),,6 - 7 kHz,"1 s, 20 s interval between pings (over 10 min)",150,rms,Measured,up to 8 km,1,,,Socializing ,The social sounds (codas and slow clicks) during exposure also happened before but the rate increases. Moderate modification of vocal behavior.,4,Moderate,Not-avoidance,Not measured/reported
